aluno_id,horas_estudo,frequencia,atividades_entregues,nota_anterior,nota_final
1,9.5,91.1,96.0,7.7,9.6
2,7.6,100.0,88.9,5.7,9.0
3,9.9,63.2,75.9,5.3,7.3
4,12.6,86.8,65.3,6.5,9.0
5,7.3,72.2,85.5,6.2,7.0
6,7.3,74.2,80.9,5.8,8.1
7,12.7,72.9,88.4,7.5,9.7
8,10.3,69.6,84.5,7.9,8.7
9,6.6,80.6,90.7,6.6,9.0
10,9.6,70.0,67.0,8.7,9.5
11,6.6,83.2,94.8,4.8,7.2
12,6.6,79.4,78.0,6.2,7.6
13,8.7,77.1,100.0,5.4,8.2
14,2.3,69.1,64.7,3.7,5.2
15,2.8,73.1,100.0,6.4,8.3
16,6.3,89.1,78.0,6.3,8.3
17,5.0,86.0,65.2,8.8,8.5
18,8.9,68.3,67.7,7.4,7.1
19,5.3,81.2,70.2,5.0,7.7
20,3.8,89.0,81.4,9.3,8.3
21,12.4,60.0,82.8,8.3,9.3
22,7.3,86.5,66.4,7.4,8.8
23,8.2,72.0,74.6,6.2,8.8
24,3.7,86.8,100.0,5.1,7.2
25,6.4,70.8,100.0,5.9,6.4
26,8.3,58.3,81.5,8.1,8.5
27,4.5,60.5,75.6,9.3,9.2
28,9.1,80.6,76.8,8.8,10.0
29,6.2,83.1,84.2,5.8,8.3
30,7.1,69.1,59.7,4.8,6.6
31,6.2,87.7,71.1,6.7,8.8
32,13.6,60.1,50.0,3.8,6.5
33,8.0,79.2,81.0,7.0,9.0
34,4.8,65.5,84.7,6.3,7.8
35,10.5,72.2,67.8,5.8,8.8
36,4.3,80.6,98.6,4.1,9.2
37,8.6,69.7,56.6,7.3,8.2
38,2.1,75.4,53.0,5.7,6.0
39,4.0,92.1,78.4,4.7,7.5
40,8.6,73.1,90.7,2.2,6.1
41,10.2,90.0,100.0,6.5,9.3
42,8.5,66.4,68.1,9.2,8.5
43,7.7,86.4,91.2,9.0,9.5
44,7.1,97.3,74.4,5.8,8.7
45,3.6,50.3,72.4,5.6,5.7
46,5.8,70.4,88.3,7.2,8.9
47,6.6,86.9,84.8,5.0,8.1
48,11.2,77.6,51.4,7.0,8.5
49,9.0,84.5,97.1,7.6,9.5
50,2.7,72.8,95.7,8.3,8.4
51,9.0,81.0,65.6,6.3,8.8
52,6.8,78.1,80.9,6.2,7.6
53,6.0,94.0,82.4,5.2,7.9
54,9.8,83.1,78.9,5.3,8.3
55,11.1,84.1,66.7,6.2,8.0
56,10.8,75.1,64.9,7.1,8.2
57,5.5,74.1,74.6,7.9,7.9
58,7.1,74.8,92.6,5.3,8.6
59,9.0,84.7,83.2,8.7,9.9
60,10.9,74.9,69.4,6.1,8.6
61,6.6,83.5,86.6,6.5,9.1
62,7.4,100.0,32.3,5.4,7.4
63,4.7,90.5,92.2,2.9,7.6
64,4.4,76.1,48.9,7.8,7.3
65,10.4,94.4,69.6,7.6,9.7
66,12.1,75.1,58.2,6.1,8.0
67,7.8,55.5,55.6,6.6,5.6
68,11.0,67.9,92.4,7.3,9.1
69,9.1,57.6,68.0,4.2,7.7
70,6.1,75.8,80.2,5.7,8.3
71,9.1,80.2,74.3,7.7,9.6
72,12.6,100.0,82.2,4.6,10.0
73,7.9,83.9,76.2,6.9,8.7
74,12.7,77.4,55.8,4.5,8.1
75,0.1,90.0,89.9,7.2,7.6
76,10.5,53.5,67.6,6.4,7.5
77,8.3,82.8,51.7,4.1,7.5
78,7.1,89.3,68.6,8.2,9.7
79,8.3,62.3,97.5,5.4,7.9
80,2.0,93.7,87.8,5.3,7.4
81,7.3,84.1,69.8,6.8,8.4
82,9.1,75.0,69.8,8.2,9.2
83,12.4,87.6,70.2,5.0,7.9
84,6.4,100.0,100.0,6.6,8.1
85,5.6,82.2,80.7,7.1,8.1
86,6.5,83.0,81.5,7.5,8.0
87,10.7,74.5,90.5,6.8,8.9
88,9.0,69.8,78.6,5.9,8.0
89,6.4,90.0,71.1,5.3,7.7
90,9.5,69.7,72.1,6.6,9.1
91,8.3,80.9,73.9,4.9,8.1
92,10.9,74.3,74.4,2.1,7.3
93,5.9,85.7,85.9,7.2,9.1
94,7.0,84.0,75.8,7.9,8.2
95,6.8,92.5,86.0,3.0,8.3
96,3.6,73.9,73.8,5.0,6.8
97,8.9,76.8,76.2,7.4,9.2
98,8.8,68.3,45.0,9.6,7.8
99,8.0,74.7,88.7,6.5,7.6
100,7.3,84.5,80.2,5.4,8.7
101,3.8,89.1,90.0,6.2,8.4
102,6.7,68.9,31.6,8.6,6.9
103,7.0,90.4,100.0,5.5,8.3
104,5.6,96.3,72.9,5.3,8.7
105,7.5,85.0,91.6,5.8,7.9
106,9.2,100.0,59.4,5.1,9.4
107,13.7,70.7,84.2,6.7,8.9
108,8.5,65.1,59.2,8.9,8.8
109,8.8,58.7,65.6,7.0,7.5
110,7.8,98.0,100.0,6.1,9.8
111,2.2,87.9,72.1,6.1,7.1
112,7.9,79.3,78.3,4.2,7.5
113,8.2,83.4,88.1,7.8,9.4
114,15.4,66.5,82.4,6.4,8.8
115,7.4,100.0,77.3,6.2,9.4
116,8.9,81.6,80.5,10.0,9.7
117,7.9,81.3,100.0,6.9,9.0
118,4.5,88.7,74.1,5.4,7.1
119,11.4,85.8,78.0,5.9,7.5
120,10.3,82.7,90.8,8.2,9.8
121,10.4,70.5,91.6,6.7,10.0
122,5.3,85.7,92.8,4.3,8.2
123,12.2,100.0,84.6,7.9,10.0
124,3.8,96.1,57.9,5.5,7.3
125,9.8,99.1,99.5,9.3,10.0
126,14.6,73.9,57.8,8.1,9.8
127,5.0,68.1,79.5,5.8,6.6
128,6.3,78.5,63.7,8.4,9.1
129,8.3,80.7,74.0,6.6,8.9
130,6.5,93.1,79.9,7.8,9.6
131,3.3,59.7,79.8,7.2,7.5
132,8.2,98.4,81.3,5.2,8.8
133,4.8,78.1,99.2,5.5,8.4
134,9.4,74.9,81.8,8.0,9.5
135,5.2,67.9,71.3,6.0,7.0
136,12.6,60.1,89.5,5.9,8.3
137,5.7,89.9,92.8,5.1,8.3
138,7.0,80.9,56.6,7.1,8.9
139,10.4,64.5,84.0,9.6,8.8
140,4.3,64.5,85.5,4.9,6.0
141,8.7,76.0,70.5,6.5,8.4
142,11.9,100.0,95.6,8.6,10.0
143,3.2,76.9,72.7,6.4,7.4
144,8.6,62.0,76.9,7.2,8.3
145,8.8,77.1,72.4,4.9,7.7
146,10.3,76.7,75.2,7.1,9.8
147,4.3,47.6,58.6,6.2,5.1
148,4.0,79.3,53.4,8.0,7.1
149,9.6,77.2,98.9,8.3,9.7
150,8.9,88.4,62.3,10.0,8.8
151,8.8,100.0,60.1,7.4,9.1
152,9.0,93.5,42.7,7.0,9.4
153,6.0,76.8,65.4,6.8,7.8
154,8.7,66.7,55.2,6.0,7.5
155,8.9,100.0,99.6,7.0,9.3
156,5.9,80.7,90.1,6.1,7.9
157,13.6,80.2,64.7,6.8,9.0
158,9.4,79.7,100.0,8.5,9.8
159,4.4,82.4,89.7,5.0,8.4
160,10.0,78.3,70.1,8.2,9.5
161,5.1,73.1,37.5,8.5,6.7
162,10.4,73.4,100.0,6.3,9.3
163,11.5,79.6,54.2,3.3,7.7
164,5.5,73.5,50.3,5.6,7.5
165,10.9,71.4,90.3,8.4,10.0
166,9.2,81.3,100.0,6.5,8.7
167,10.5,76.9,95.8,5.0,8.2
168,13.7,98.0,83.5,5.7,9.2
169,7.3,48.2,83.9,7.8,7.7
170,5.7,93.1,87.8,7.3,9.3
171,5.3,95.0,86.4,6.1,9.2
172,5.6,55.1,79.2,5.9,6.9
173,7.8,75.9,76.6,5.9,7.8
174,9.0,75.5,74.1,5.1,8.0
175,8.8,63.1,63.7,8.9,8.0
176,10.5,70.7,70.8,6.0,9.5
177,8.0,66.7,49.6,8.3,7.0
178,12.4,100.0,73.5,8.8,10.0
179,7.2,91.2,60.2,8.0,10.0
180,16.2,95.3,58.4,5.9,9.8
181,9.9,88.7,77.7,7.1,9.2
182,5.4,66.5,95.9,6.5,7.8
183,4.8,73.7,88.8,5.1,7.3
184,9.4,85.9,51.4,7.0,9.3
185,7.3,65.3,60.2,4.7,5.4
186,10.1,88.6,89.1,8.3,10.0
187,9.4,77.1,60.3,5.8,7.1
188,7.8,75.5,71.6,6.8,8.1
189,5.5,88.5,83.3,6.9,8.3
190,3.5,85.3,60.5,6.1,7.6
191,6.7,75.7,76.6,7.4,7.4
192,10.6,93.9,55.0,5.8,8.9
193,8.6,67.0,66.0,7.8,9.5
194,4.3,87.4,79.8,4.5,6.6
195,8.5,87.1,51.1,6.7,8.3
196,9.2,76.3,81.6,9.4,9.3
197,5.3,83.9,74.7,5.0,7.8
198,8.5,65.0,83.3,5.5,7.8
